#RiskFactor1,RiskFactor2,Correlation
"IndexCurve/DKK-DKKOIS/7","FXSpot/SEKEUR/0",0.269258
"IndexCurve/DKK-DKKOIS/7","FXSpot/TWDEUR/0",-0.251014
"IndexCurve/DKK-DKKOIS/7","FXSpot/USDEUR/0",-0.383587
"IndexCurve/DKK-DKKOIS/7","FXVolatility/EURUSD/7",-0.332605
"IndexCurve/DKK-DKKOIS/7","FXVolatility/NOKSEK/7",-0.109797
"IndexCurve/DKK-DKKOIS/7","FXVolatility/USDJPY/7",-0.085096
"IndexCurve/DKK-DKKOIS/7","EquitySpot/RIC:.SPX/0",0.161718
"IndexCurve/DKK-DKKOIS/7","EquitySpot/RIC:FISV.OQ/0",0.013950
"IndexCurve/DKK-DKKOIS/7","EquitySpot/RIC:KSS.N/0",0.143260
"IndexCurve/DKK-DKKOIS/7","EquitySpot/RIC:LHAG.DE/0",0.234765
"IndexCurve/DKK-DKKOIS/7","EquityVolatility/RIC:.SPX/7",-0.138205
"IndexCurve/DKK-DKKOIS/7","SurvivalProbability/RED:025ADX|SNRFOR|USD|CR14/3",-0.141059
"IndexCurve/DKK-DKKOIS/7","ZeroInflationCurve/EUHICPXT/4",0.441554
"IndexCurve/EUR-EONIA/7","IndexCurve/EUR-EURIBOR-3M/7",0.987811
"IndexCurve/EUR-EONIA/7","IndexCurve/EUR-EURIBOR-6M/7",0.986009
"IndexCurve/EUR-EONIA/7","IndexCurve/SEK-STIBOR-3M/7",0.859870
"IndexCurve/EUR-EONIA/7","IndexCurve/USD-FedFunds/7",0.750065
"IndexCurve/EUR-EONIA/7","IndexCurve/USD-LIBOR-3M/7",0.738822
"IndexCurve/EUR-EONIA/7","OptionletVolatility/EUR-EURIBOR-6M/42",-0.046414
"IndexCurve/EUR-EONIA/7","OptionletVolatility/EUR-EURIBOR-6M/43",-0.119963
